2026-07-03 02:15:39	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=5&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:39	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=6&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:40	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=7&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:40	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=8&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:40	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=9&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:40	cid=19	cas=303-38-8	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=303-38-8&Units=SI&Mask=480	reason=all_jcamp_downloads_failed	message=ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404
2026-07-03 02:15:41	cid=20	cas=3714-73-6	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=3714-73-6&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:15:41	cid=21	cas=3142-65-2	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=3142-65-2&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:15:42	cid=22	cas=918-44-5	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=918-44-5&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:15:43	cid=23	cas=16597-58-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=16597-58-3&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:15:43	cid=24	cas=	modality=	url=	reason=not_found	message=pubchem_synonyms_404
2026-07-03 02:15:43	cid=26	cas=	modality=	url=	reason=not_found	message=pubchem_synonyms_404
2026-07-03 02:15:43	cid=28	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:15:43	cid=29	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:15:44	cid=30	cas=150994-59-5	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=150994-59-5&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:15:44	cid=31	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:15:44	cid=32	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:15:45	cid=33	cas=107-20-0	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=107-20-0&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:15:46	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=1&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:46	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=2&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:47	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=3&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:47	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=4&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:47	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=5&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:51	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=6&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:52	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=7&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:52	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=8&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:52	cid=34	cas=107-07-3	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C107073&Index=9&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:52	cid=34	cas=107-07-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=107-07-3&Units=SI&Mask=480	reason=all_jcamp_downloads_failed	message=ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404
2026-07-03 02:15:53	cid=35	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:15:53	cid=36	cas=16048-89-8	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=16048-89-8&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:15:54	cid=37	cas=158647-63-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=158647-63-3&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:15:54	cid=38	cas=470-30-4	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=470-30-4&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:15:55	cid=39	cas=13031-04-4	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=13031-04-4&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:15:55	cid=40	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:15:56	cid=41	cas=629647-81-0	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=629647-81-0&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:15:56	cid=42	cas=6670-61-7	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=6670-61-7&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:15:57	cid=43	cas=2889-31-8	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=2889-31-8&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:15:57	cid=44	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:15:58	cid=45	cas=80-69-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=80-69-3&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:15:58	cid=46	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
