cid,iupac_name,pubchem_inchikey,rdkit_inchikey,canonical_smiles,isomeric_smiles,formula,pubchem_molecular_weight,rdkit_molecular_weight,exact_mass,charge,heavy_atom_count,isotope_atom_count,covalent_unit_count,elements,xlogp,tpsa,h_bond_donor_count,h_bond_acceptor_count,rotatable_bond_count,source
95,"2,4,5,6-tetrahydroxy-3-oxohexanoic acid",WTAHRPBPWHCMHW-UHFFFAOYSA-N,WTAHRPBPWHCMHW-UHFFFAOYSA-N,O=C(O)C(O)C(=O)C(O)C(O)CO,,C6H10O7,194.14,194.139,194.04265265,0,13,0,1,C;H;O,-2.8,135,5,7,5,PubChem
96,3-oxobutanoic acid,WDJHALXBUFZDSR-UHFFFAOYSA-N,WDJHALXBUFZDSR-UHFFFAOYSA-N,CC(=O)CC(=O)O,,C4H6O3,102.09,102.089,102.031694049,0,7,0,1,C;H;O,-0.4,54.4,1,3,2,PubChem
97,"3,5-dihydroxy-2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-one",HKKHTABTHSUDBP-UHFFFAOYSA-N,HKKHTABTHSUDBP-UHFFFAOYSA-N,O=C1C(O)C(CO)OC(OC2C(CO)OC(O)C(O)C2O)C1O,,C12H20O11,340.28,340.281,340.10056145,0,23,0,1,C;H;O,-4.3,186,7,11,4,PubChem
98,2-oxo-3-sulfanylpropanoic acid,OJOLFAIGOXZBCI-UHFFFAOYSA-N,OJOLFAIGOXZBCI-UHFFFAOYSA-N,O=C(O)C(=O)CS,,C3H4O3S,120.13,120.129,119.98811516,0,7,0,1,C;H;O;S,0,55.4,2,4,2,PubChem
100,"4-hydroxy-3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzoic acid",UTIBHEBNILDQKX-UHFFFAOYSA-N,UTIBHEBNILDQKX-UHFFFAOYSA-N,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cc(C(=O)O)ccc1O,,C47H70O3,683.1,683.074,682.53249609,0,50,0,1,C;H;O,16,57.5,2,3,24,PubChem
101,3-hydroxybenzaldehyde,IAVREABSGIHHMO-UHFFFAOYSA-N,IAVREABSGIHHMO-UHFFFAOYSA-N,O=Cc1cccc(O)c1,,C7H6O2,122.12,122.123,122.036779430,0,9,0,1,C;H;O,1.4,37.3,1,2,1,PubChem
102,3-(hydroxymethyl)phenol,OKVJCVWFVRATSG-UHFFFAOYSA-N,OKVJCVWFVRATSG-UHFFFAOYSA-N,OCc1cccc(O)c1,,C7H8O2,124.14,124.139,124.052429494,0,9,0,1,C;H;O,0.5,40.5,2,2,1,PubChem
104,2-(2-oxo-3H-furan-5-yl)acetic acid,ZPEHSARSWGDCEX-UHFFFAOYSA-N,ZPEHSARSWGDCEX-UHFFFAOYSA-N,O=C(O)CC1=CCC(=O)O1,,C6H6O4,142.11,142.11,142.02660867,0,10,0,1,C;H;O,-0.3,63.6,1,4,2,PubChem
105,2-oxo-3-phosphonooxypropanoic acid,LFLUCDOSQPJJBE-UHFFFAOYSA-N,LFLUCDOSQPJJBE-UHFFFAOYSA-N,O=C(O)C(=O)COP(=O)(O)O,,C3H5O7P,184.04,184.04,183.97728949,0,11,0,1,C;H;O;P,-2.1,121,3,7,4,PubChem
106,2-amino-3-phosphonooxypropanoic acid,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,NC(COP(=O)(O)O)C(=O)O,,C3H8NO6P,185.07,185.072,185.00892397,0,11,0,1,C;H;N;O;P,-5.1,130,4,7,4,PubChem
107,3-phenylpropanoic acid,XMIIGOLPHOKFCH-UHFFFAOYSA-N,XMIIGOLPHOKFCH-UHFFFAOYSA-N,O=C(O)CCc1ccccc1,,C9H10O2,150.17,150.177,150.068079557,0,11,0,1,C;H;O,1.8,37.3,1,2,3,PubChem
108,2-pyridin-3-ylacetic acid,WGNUNYPERJMVRM-UHFFFAOYSA-N,WGNUNYPERJMVRM-UHFFFAOYSA-N,O=C(O)Cc1cccnc1,,C7H7NO2,137.14,137.138,137.047678466,0,10,0,1,C;H;N;O,-0.1,50.2,1,3,2,PubChem
109,2-amino-3-sulfinopropanoic acid,ADVPTQAUNPRNPO-UHFFFAOYSA-N,ADVPTQAUNPRNPO-UHFFFAOYSA-N,NC(CS(=O)O)C(=O)O,,C3H7NO4S,153.16,153.159,153.00957888,0,9,0,1,C;H;N;O;S,-4.2,120,3,6,3,PubChem
110,2-oxo-3-sulfinopropanoic acid,JXYLQEMXCAAMOL-UHFFFAOYSA-N,JXYLQEMXCAAMOL-UHFFFAOYSA-N,O=C(O)C(=O)CS(=O)O,,C3H4O5S,152.13,152.127,151.97794440,0,9,0,1,C;H;O;S,-1,111,2,6,3,PubChem
111,3-(carbamoylamino)propanoic acid,JSJWCHRYRHKBBW-UHFFFAOYSA-N,JSJWCHRYRHKBBW-UHFFFAOYSA-N,NC(=O)NCCC(=O)O,,C4H8N2O3,132.12,132.119,132.05349212,0,9,0,1,C;H;N;O,-1.5,92.4,3,3,3,PubChem
112,3-hydroxy-2-oxo-4-phosphonooxybutanoate,MZJFVXDTNBHTKZ-UHFFFAOYSA-M,MZJFVXDTNBHTKZ-UHFFFAOYSA-M,O=C([O-])C(=O)C(O)COP(=O)(O)O,,C4H6O8P-,213.06,213.058,212.98002914,-1,13,0,1,C;H;O;P,-2.1,144,3,8,4,PubChem
113,3-hydroxy-2-oxo-4-phosphonooxybutanoic acid,MZJFVXDTNBHTKZ-UHFFFAOYSA-N,MZJFVXDTNBHTKZ-UHFFFAOYSA-N,O=C(O)C(=O)C(O)COP(=O)(O)O,,C4H7O8P,214.07,214.066,213.98785418,0,13,0,1,C;H;O;P,-2.7,141,4,8,5,PubChem
114,4-pyridin-3-ylbutanoic acid,MFYZACBRKCFXDV-UHFFFAOYSA-N,MFYZACBRKCFXDV-UHFFFAOYSA-N,O=C(O)CCCc1cccnc1,,C9H11NO2,165.19,165.192,165.078978594,0,12,0,1,C;H;N;O,0.6,50.2,1,3,4,PubChem
